shares,kw_max_avg,kw_avg_avg,LDA_03,weekday_is_friday,n_tokens_content,avg_negative_polarity,global_subjectivity,weekday_is_wednesday,rate_positive_words,data_channel_is_bus,weekday_is_saturday,kw_max_min,LDA_00,data_channel_is_world,min_negative_polarity,weekday_is_thursday,max_negative_polarity,weekday_is_monday,num_imgs,global_sentiment_polarity,weekday_is_sunday,num_hrefs,timedelta,average_token_length,abs_title_subjectivity,n_non_stop_unique_tokens,avg_positive_polarity,global_rate_positive_words,LDA_04,num_videos,num_keywords,min_positive_polarity,kw_min_min,kw_avg_min,kw_min_avg,abs_title_sentiment_polarity,global_rate_negative_words,LDA_01,title_subjectivity,n_unique_tokens,is_weekend,max_positive_polarity,rate_negative_words
1700,8300.0,5300.53353173,0.68709331443,0.0,850.0,-0.400264550265,0.539570517202,1.0,0.581395348837,0.0,0.0,8300.0,0.0225026067222,0.0,-1.0,0.0,-0.05,0.0,30.0,0.0597775214552,0.0,36.0,351.0,4.61058823529,0.5,0.740608227655,0.447956709957,0.0294117647059,0.0222232974502,1.0,9.0,0.1,-1.0,1064.46444444,2367.0,0.0,0.0211764705882,0.245958097366,0.0,0.584975368738,0.0,1.0,0.418604651163
1200,3408.49413971,1869.09210296,0.0222248508999,0.0,596.0,-0.458333333333,0.368176581483,0.0,0.777777777778,1.0,0.0,1600.0,0.245457470394,0.0,-1.0,0.0,-0.1,1.0,1.0,0.0925459083927,0.0,12.0,612.0,5.13422818792,0.321428571429,0.74651810377,0.36480403525,0.0469798657718,0.022631073405,0.0,9.0,0.0625,4.0,552.333333333,0.0,0.0,0.0134228187919,0.13052350293,0.178571428571,0.563884155769,0.0,1.0,0.222222222222
6200,3575.71896608,2643.34994963,0.0285738285701,1.0,204.0,-0.05,0.44906462585,0.0,0.875,1.0,0.0,533.0,0.456523269338,0.0,-0.05,0.0,-0.05,0.0,1.0,0.163520408163,0.0,5.0,356.0,4.93137254902,0.5,0.813008123471,0.357040816327,0.0343137254902,0.457752719619,0.0,7.0,0.16,-1.0,145.265,0.0,0.0,0.00490196078431,0.0285761649253,0.0,0.690355326445,0.0,0.5,0.125
1100,4542.4375,2582.56805962,0.0285721965233,1.0,305.0,-0.211111111111,0.323400673401,0.0,0.647058823529,0.0,0.0,745.0,0.0285724881156,1.0,-0.4,0.0,-0.1,0.0,0.0,0.0444805194805,0.0,4.0,342.0,4.87540983607,0.5,0.730337074549,0.205513577332,0.0360655737705,0.0296074919449,1.0,7.0,0.1,-1.0,148.428571429,1144.10526316,0.2,0.0196721311475,0.0285723579252,0.0,0.555921050803,0.0,0.5,0.352941176471
1600,8543.93543307,4195.34725046,0.7006499881,0.0,636.0,-0.321291208791,0.758951340099,0.0,0.771929824561,0.0,1.0,2000.0,0.0211151826669,0.0,-0.5,0.0,-0.1875,0.0,21.0,0.46650078064,0.0,42.0,411.0,4.63522012579,0.2,0.626598463871,0.755303030303,0.0691823899371,0.238152681422,0.0,10.0,0.0333333333333,4.0,482.333333333,0.0,0.4,0.0204402515723,0.0200682124651,0.7,0.512195121059,1.0,1.0,0.228070175439
1400,3956.96103896,2437.8819527,0.0201916824335,0.0,340.0,-0.245833333333,0.313392857143,0.0,0.846153846154,1.0,0.0,515.0,0.919584169353,0.0,-0.291666666667,0.0,-0.2,0.0,25.0,0.0507954545455,0.0,6.0,667.0,4.6,0.5,0.475770923014,0.137052341598,0.0323529411765,0.0200841965629,1.0,10.0,0.0333333333333,217.0,374.875,0.0,0.0,0.00588235294118,0.0201218669621,0.0,0.450331124337,0.0,0.35,0.153846153846
2500,2495.93434824,1099.83687374,0.0200016343831,1.0,99.0,-0.441666666667,0.505934343434,0.0,0.5,0.0,0.0,751.0,0.0202641674998,0.0,-1.0,0.0,-0.1,0.0,0.0,-0.130303030303,0.0,3.0,713.0,4.40404040404,0.5,0.933333317778,0.214393939394,0.0606060606061,0.820010074759,1.0,10.0,0.136363636364,217.0,422.8,0.0,0.6,0.0606060606061,0.119563240648,1.0,0.836734685339,0.0,0.3,0.5
1200,3400.0,2869.86922564,0.033333807115,1.0,175.0,-0.133333333333,0.403333333333,0.0,0.333333333333,1.0,0.0,1600.0,0.431173446215,0.0,-0.166666666667,0.0,-0.1,0.0,1.0,-0.0433333333333,0.0,6.0,580.0,5.14857142857,0.5,0.798165130292,0.05,0.00571428571429,0.468748012994,0.0,6.0,0.05,4.0,468.666666667,1347.2,0.0,0.0114285714286,0.033335910607,0.0,0.67441860073,0.0,0.05,0.666666666667
836,5315.21318595,3397.68040807,0.218904860759,0.0,327.0,-0.393650793651,0.566445623342,0.0,0.758620689655,0.0,0.0,425.0,0.0202060261919,0.0,-0.5,0.0,-0.166666666667,0.0,15.0,0.197222222222,1.0,22.0,452.0,4.66055045872,0.225,0.732323228625,0.402651515152,0.0672782874618,0.140857867449,0.0,10.0,0.15,4.0,197.5,2104.8,0.5,0.0214067278287,0.600013489826,0.725,0.608414237513,1.0,0.8,0.241379310345
983,29350.0,6827.95972502,0.0333339322799,0.0,832.0,-0.231150793651,0.380905190905,0.0,0.44,0.0,0.0,1500.0,0.033379584596,1.0,-0.75,0.0,-0.05,1.0,1.0,-0.00919991419991,0.0,33.0,31.0,4.89903846154,0.1,0.662813100842,0.285064935065,0.0132211538462,0.0333351878062,1.0,6.0,0.05,-1.0,507.833333333,1678.25,0.2,0.0168269230769,0.033334246603,0.4,0.500622664383,0.0,0.5,0.56
