knowledge_level,exam_score_related_objects,study_time_main_objects,exam_score_main_objects
3,0.31,0.325,0.79
1,0.1,0.275,0.3
1,0.62,0.255,0.15
3,0.91,0.83,0.66
2,0.29,0.1,0.56
3,0.2,0.2,0.78
3,0.77,0.495,0.83
1,0.25,0.06,0.33
1,0.04,0.42,0.25
1,0.63,0.255,0.14
2,0.29,0.27,0.58
3,0.53,0.44,0.85
1,0.6,0.523,0.22
1,0.32,0.334,0.3
0,0.27,0.115,0.04
1,0.78,0.37,0.1
1,0.44,0.295,0.28
0,0.01,0.05,0.05
1,0.27,0.276,0.33
3,0.58,0.9,0.79
2,0.4,0.37,0.5
1,0.48,0.27,0.26
0,0.48,0.55,0.11
3,0.8,0.315,0.7
2,0.31,0.75,0.53
1,0.42,0.243,0.29
3,0.55,0.88,0.78
1,0.61,0.348,0.18
1,0.63,0.365,0.18
2,0.31,0.295,0.55
2,0.11,0.6,0.66
2,0.25,0.29,0.67
2,0.3,0.2,0.6
1,0.49,0.245,0.27
2,0.1,0.4,0.65
3,0.38,0.13,0.77
2,0.29,0.1,0.65
3,0.87,0.6,0.58
1,0.33,0.38,0.3
2,0.4,0.305,0.54
1,0.41,0.27,0.28
0,0.26,0.32,0.24
0,0.25,0.04,0.1
2,0.12,0.295,0.67
1,0.72,0.2,0.25
0,0.08,0.6,0.1
2,0.31,0.3,0.54
0,0.6,0.251,0.09
3,0.2,0.0,0.85
3,0.21,0.41,0.92
2,0.13,0.62,0.64
2,0.79,0.72,0.45
3,0.65,0.78,0.75
0,0.26,0.245,0.2
3,0.42,0.31,0.75
3,0.65,0.89,0.9
2,0.18,0.41,0.58
1,0.28,0.06,0.25
1,0.48,0.2,0.28
1,0.77,0.39,0.14
2,0.84,0.2,0.25
3,0.22,0.299,0.66
2,0.26,0.4,0.67
1,0.24,0.365,0.35
2,0.8,0.24,0.28
3,0.01,0.495,0.93
2,0.64,0.18,0.25
1,0.7,0.27,0.25
0,0.66,0.265,0.07
1,0.28,0.28,0.32
3,0.7,0.48,0.71
0,0.0,0.0,0.0
3,0.92,0.61,0.58
1,0.62,0.5,0.2
1,0.64,0.08,0.1
3,0.32,0.323,0.8
1,0.11,0.305,0.333
0,0.4,0.15,0.01
1,0.06,0.39,0.34
2,0.31,0.8,0.51
3,0.82,0.77,0.68
3,0.92,0.312,0.5
3,0.3,0.4,0.9
2,0.49,0.19,0.45
2,0.09,0.68,0.66
3,0.15,0.1,0.9
1,0.28,0.265,0.28
1,0.27,0.52,0.25
2,0.18,0.09,0.67
3,0.89,0.91,0.88
1,0.76,0.06,0.25
0,0.48,0.36,0.13
2,0.09,0.7,0.66
2,0.18,0.64,0.63
2,0.51,0.23,0.45
1,0.62,0.38,0.2
3,0.18,0.24,0.86
2,0.61,0.5,0.26
2,0.65,0.1,0.3
3,0.65,0.48,0.77
1,0.29,0.6,0.3
3,0.35,0.12,0.8
2,0.78,0.1,0.34
1,0.45,0.09,0.25
2,0.29,0.29,0.57
2,0.3,0.15,0.51
2,0.02,0.3,0.67
2,0.19,0.06,0.56
2,0.3,0.52,0.52
1,0.29,0.37,0.3
1,0.98,0.08,0.24
2,0.1,0.09,0.66
2,0.29,0.18,0.55
2,0.17,0.28,0.66
2,0.84,0.385,0.3
1,0.28,0.58,0.3
2,0.19,0.09,0.59
2,0.36,0.45,0.51
2,0.1,0.62,0.66
2,0.29,0.315,0.62
2,0.09,0.43,0.64
1,0.75,0.09,0.01
3,0.71,0.18,0.9
3,0.78,0.71,0.86
1,0.25,0.55,0.29
1,0.59,0.51,0.23
2,0.18,0.465,0.59
2,0.2,0.79,0.66
0,0.49,0.33,0.12
3,0.4,0.329,0.79
1,0.27,0.38,0.3
2,0.23,0.71,0.59
2,0.65,0.64,0.5
2,0.3,0.3,0.53
2,0.78,0.77,0.28
2,0.78,0.42,0.4
2,0.15,0.66,0.62
3,0.8,0.85,0.68
1,0.65,0.39,0.19
3,0.24,0.08,0.9
2,0.31,0.68,0.57
1,0.63,0.58,0.21
3,0.75,0.49,0.71
1,0.42,0.18,0.28
0,0.66,0.29,0.08
1,0.23,0.288,0.24
3,0.33,0.299,0.87
1,0.28,0.61,0.28
2,0.31,0.475,0.54
1,0.78,0.49,0.21
2,0.88,0.295,0.28
2,0.29,0.14,0.6
3,0.24,0.445,0.88
0,0.3,0.55,0.1
2,0.78,0.32,0.34
2,0.16,0.445,0.64
2,0.49,0.2,0.56
1,0.62,0.61,0.24
2,0.33,0.43,0.49
2,0.22,0.46,0.6
2,0.12,0.73,0.65
1,0.08,0.18,0.33
2,0.29,0.44,0.57
1,0.76,0.32,0.24
0,0.55,0.45,0.07
1,0.55,0.365,0.25
1,0.48,0.38,0.26
3,0.4,0.66,0.83
1,0.27,0.58,0.3
3,0.24,0.46,0.89
2,0.31,0.1,0.62
1,0.76,0.02,0.1
2,0.29,0.258,0.56
3,0.7,0.99,0.69
3,0.33,0.28,0.78
2,0.14,0.17,0.66
2,0.55,0.29,0.51
0,0.4,0.255,0.1
2,0.2,0.34,0.61
1,0.64,0.345,0.13
1,0.65,0.28,0.13
1,0.22,0.39,0.29
1,0.78,0.29,0.18
1,0.78,0.12,0.2
1,0.76,0.295,0.1
0,0.33,0.33,0.1
2,0.25,0.3,0.83
2,0.31,0.56,0.5
0,0.55,0.59,0.09
1,0.64,0.54,0.19
3,0.33,0.258,0.77
1,0.29,0.58,0.29
3,0.88,0.4,0.67
1,0.6,0.35,0.16
