mpg,horsepower,weight,origin,displacement
18.0,130.0,3504.0,1,307.0
15.0,165.0,3693.0,1,350.0
18.0,150.0,3436.0,1,318.0
16.0,150.0,3433.0,1,304.0
17.0,140.0,3449.0,1,302.0
15.0,198.0,4341.0,1,429.0
14.0,220.0,4354.0,1,454.0
14.0,215.0,4312.0,1,440.0
14.0,225.0,4425.0,1,455.0
15.0,190.0,3850.0,1,390.0
15.0,170.0,3563.0,1,383.0
14.0,160.0,3609.0,1,340.0
15.0,150.0,3761.0,1,400.0
14.0,225.0,3086.0,1,455.0
24.0,95.00,2372.0,3,113.0
22.0,95.00,2833.0,1,198.0
18.0,97.00,2774.0,1,199.0
21.0,85.00,2587.0,1,200.0
27.0,88.00,2130.0,3,97.0
26.0,46.00,1835.0,2,97.0
25.0,87.00,2672.0,2,110.0
24.0,90.00,2430.0,2,107.0
25.0,95.00,2375.0,2,104.0
26.0,113.0,2234.0,2,121.0
21.0,90.00,2648.0,1,199.0
10.0,215.0,4615.0,1,360.0
10.0,200.0,4376.0,1,307.0
11.0,210.0,4382.0,1,318.0
9.0,193.0,4732.0,1,304.0
27.0,88.00,2130.0,3,97.0
28.0,90.00,2264.0,1,140.0
25.0,95.00,2228.0,3,113.0
25.0,?,2046.0,1,98.0
19.0,100.0,2634.0,1,232.0
16.0,105.0,3439.0,1,225.0
17.0,100.0,3329.0,1,250.0
19.0,88.00,3302.0,1,250.0
18.0,100.0,3288.0,1,232.0
14.0,165.0,4209.0,1,350.0
14.0,175.0,4464.0,1,400.0
14.0,153.0,4154.0,1,351.0
14.0,150.0,4096.0,1,318.0
12.0,180.0,4955.0,1,383.0
13.0,170.0,4746.0,1,400.0
13.0,175.0,5140.0,1,400.0
18.0,110.0,2962.0,1,258.0
22.0,72.00,2408.0,1,140.0
19.0,100.0,3282.0,1,250.0
18.0,88.00,3139.0,1,250.0
23.0,86.00,2220.0,1,122.0
28.0,90.00,2123.0,2,116.0
30.0,70.00,2074.0,2,79.0
30.0,76.00,2065.0,2,88.0
31.0,65.00,1773.0,3,71.0
35.0,69.00,1613.0,3,72.0
27.0,60.00,1834.0,2,97.0
26.0,70.00,1955.0,1,91.0
24.0,95.00,2278.0,3,113.0
25.0,80.00,2126.0,1,97.5
23.0,54.00,2254.0,2,97.0
20.0,90.00,2408.0,1,140.0
21.0,86.00,2226.0,1,122.0
13.0,165.0,4274.0,1,350.0
14.0,175.0,4385.0,1,400.0
15.0,150.0,4135.0,1,318.0
14.0,153.0,4129.0,1,351.0
17.0,150.0,3672.0,1,304.0
11.0,208.0,4633.0,1,429.0
13.0,155.0,4502.0,1,350.0
12.0,160.0,4456.0,1,350.0
13.0,190.0,4422.0,1,400.0
19.0,97.00,2330.0,3,70.0
15.0,150.0,3892.0,1,304.0
13.0,130.0,4098.0,1,307.0
13.0,140.0,4294.0,1,302.0
14.0,150.0,4077.0,1,318.0
18.0,112.0,2933.0,2,121.0
22.0,76.00,2511.0,2,121.0
21.0,87.00,2979.0,2,120.0
26.0,69.00,2189.0,2,96.0
22.0,86.00,2395.0,1,122.0
28.0,92.00,2288.0,3,97.0
23.0,97.00,2506.0,3,120.0
28.0,80.00,2164.0,1,98.0
27.0,88.00,2100.0,3,97.0
13.0,175.0,4100.0,1,350.0
14.0,150.0,3672.0,1,304.0
13.0,145.0,3988.0,1,350.0
14.0,137.0,4042.0,1,302.0
15.0,150.0,3777.0,1,318.0
12.0,198.0,4952.0,1,429.0
13.0,150.0,4464.0,1,400.0
13.0,158.0,4363.0,1,351.0
14.0,150.0,4237.0,1,318.0
13.0,215.0,4735.0,1,440.0
12.0,225.0,4951.0,1,455.0
13.0,175.0,3821.0,1,360.0
18.0,105.0,3121.0,1,225.0
16.0,100.0,3278.0,1,250.0
18.0,100.0,2945.0,1,232.0
18.0,88.00,3021.0,1,250.0
23.0,95.00,2904.0,1,198.0
26.0,46.00,1950.0,2,97.0
11.0,150.0,4997.0,1,400.0
12.0,167.0,4906.0,1,400.0
13.0,170.0,4654.0,1,360.0
12.0,180.0,4499.0,1,350.0
18.0,100.0,2789.0,1,232.0
20.0,88.00,2279.0,3,97.0
21.0,72.00,2401.0,1,140.0
22.0,94.00,2379.0,3,108.0
18.0,90.00,2124.0,3,70.0
19.0,85.00,2310.0,1,122.0
21.0,107.0,2472.0,1,155.0
26.0,90.00,2265.0,2,98.0
15.0,145.0,4082.0,1,350.0
16.0,230.0,4278.0,1,400.0
29.0,49.00,1867.0,2,68.0
24.0,75.00,2158.0,2,116.0
20.0,91.00,2582.0,2,114.0
19.0,112.0,2868.0,2,121.0
15.0,150.0,3399.0,1,318.0
24.0,110.0,2660.0,2,121.0
20.0,122.0,2807.0,3,156.0
11.0,180.0,3664.0,1,350.0
20.0,95.00,3102.0,1,198.0
21.0,?,2875.0,1,200.0
19.0,100.0,2901.0,1,232.0
15.0,100.0,3336.0,1,250.0
31.0,67.00,1950.0,3,79.0
26.0,80.00,2451.0,1,122.0
32.0,65.00,1836.0,3,71.0
25.0,75.00,2542.0,1,140.0
16.0,100.0,3781.0,1,250.0
16.0,110.0,3632.0,1,258.0
18.0,105.0,3613.0,1,225.0
16.0,140.0,4141.0,1,302.0
13.0,150.0,4699.0,1,350.0
14.0,150.0,4457.0,1,318.0
14.0,140.0,4638.0,1,302.0
14.0,150.0,4257.0,1,304.0
29.0,83.00,2219.0,2,98.0
26.0,67.00,1963.0,2,79.0
26.0,78.00,2300.0,2,97.0
31.0,52.00,1649.0,3,76.0
32.0,61.00,2003.0,3,83.0
28.0,75.00,2125.0,1,90.0
24.0,75.00,2108.0,2,90.0
26.0,75.00,2246.0,2,116.0
24.0,97.00,2489.0,3,120.0
26.0,93.00,2391.0,3,108.0
31.0,67.00,2000.0,2,79.0
19.0,95.00,3264.0,1,225.0
18.0,105.0,3459.0,1,250.0
15.0,72.00,3432.0,1,250.0
15.0,72.00,3158.0,1,250.0
16.0,170.0,4668.0,1,400.0
15.0,145.0,4440.0,1,350.0
16.0,150.0,4498.0,1,318.0
14.0,148.0,4657.0,1,351.0
17.0,110.0,3907.0,1,231.0
16.0,105.0,3897.0,1,250.0
15.0,110.0,3730.0,1,258.0
18.0,95.00,3785.0,1,225.0
21.0,110.0,3039.0,1,231.0
20.0,110.0,3221.0,1,262.0
13.0,129.0,3169.0,1,302.0
29.0,75.00,2171.0,3,97.0
23.0,83.00,2639.0,1,140.0
20.0,100.0,2914.0,1,232.0
23.0,78.00,2592.0,1,140.0
24.0,96.00,2702.0,3,134.0
25.0,71.00,2223.0,2,90.0
24.0,97.00,2545.0,3,119.0
18.0,97.00,2984.0,1,171.0
29.0,70.00,1937.0,2,90.0
19.0,90.00,3211.0,1,232.0
23.0,95.00,2694.0,2,115.0
23.0,88.00,2957.0,2,120.0
22.0,98.00,2945.0,2,121.0
25.0,115.0,2671.0,2,121.0
33.0,53.00,1795.0,3,91.0
28.0,86.00,2464.0,2,107.0
25.0,81.00,2220.0,2,116.0
25.0,92.00,2572.0,1,140.0
26.0,79.00,2255.0,1,98.0
27.0,83.00,2202.0,2,101.0
17.5,140.0,4215.0,1,305.0
16.0,150.0,4190.0,1,318.0
15.5,120.0,3962.0,1,304.0
14.5,152.0,4215.0,1,351.0
22.0,100.0,3233.0,1,225.0
22.0,105.0,3353.0,1,250.0
24.0,81.00,3012.0,1,200.0
22.5,90.00,3085.0,1,232.0
29.0,52.00,2035.0,1,85.0
24.5,60.00,2164.0,1,98.0
29.0,70.00,1937.0,2,90.0
33.0,53.00,1795.0,3,91.0
20.0,100.0,3651.0,1,225.0
18.0,78.00,3574.0,1,250.0
18.5,110.0,3645.0,1,250.0
17.5,95.00,3193.0,1,258.0
29.5,71.00,1825.0,2,97.0
32.0,70.00,1990.0,3,85.0
28.0,75.00,2155.0,3,97.0
26.5,72.00,2565.0,1,140.0
20.0,102.0,3150.0,2,130.0
